variant,seq_len,repeat,max_abs_err,rel_fro_err
naive_f32,128,0,6.680186624974382e-07,3.561076478837434e-07
pallas_f32,128,0,6.800495535030926e-07,3.5541860426707024e-07
naive_bf16,128,0,0.006592920989909601,0.005542192696591087
pallas_bf16,128,0,0.003250953438212009,0.003541458220566463
naive_f32,128,1,3.3081165529136314e-07,3.332888682141832e-07
pallas_f32,128,1,4.823477868232118e-07,3.318611885710105e-07
naive_bf16,128,1,0.007881316548502215,0.0058623194223355645
pallas_bf16,128,1,0.0031036220123672464,0.003588771832762976
naive_f32,128,2,6.399773737619796e-07,3.3984176433752166e-07
pallas_f32,128,2,5.625966563727047e-07,3.43931703922924e-07
naive_bf16,128,2,0.006013996734250016,0.005640335829143384
pallas_bf16,128,2,0.005013382640095543,0.0035967874193069535
naive_f32,256,0,4.726732096838049e-07,4.065018960480134e-07
pallas_f32,256,0,3.609185256908676e-07,3.5379780449280385e-07
naive_bf16,256,0,0.009796948241621584,0.005956707984798474
pallas_bf16,256,0,0.0040334262431017676,0.0036310991196559454
naive_f32,256,1,4.1052417182330103e-07,3.990180697241393e-07
pallas_f32,256,1,2.9966108622270227e-07,3.3770277803364286e-07
naive_bf16,256,1,0.004100189564189255,0.0058315686444517035
pallas_bf16,256,1,0.001849031586386829,0.0036040226085871886
naive_f32,256,2,4.657858188039654e-07,3.9087606406414504e-07
pallas_f32,256,2,4.40373467303079e-07,3.462841201674187e-07
naive_bf16,256,2,0.006746245055919031,0.005975764804464824
pallas_bf16,256,2,0.002402684235849717,0.0036461279517712155
naive_f32,512,0,3.607179098752411e-07,4.939947286976093e-07
pallas_f32,512,0,2.832035064376237e-07,3.5287372412822355e-07
naive_bf16,512,0,0.006882652885760454,0.006080643617336829
pallas_bf16,512,0,0.0021941975381712386,0.0035956916015695605
naive_f32,512,1,5.608677129953499e-07,4.97411436193781e-07
pallas_f32,512,1,2.930466755368677e-07,3.538642145998692e-07
naive_bf16,512,1,0.0037960238983957284,0.006033691368194812
pallas_bf16,512,1,0.0017925124777780077,0.003663527080154852
naive_f32,512,2,4.4673309756992907e-07,5.061721035669507e-07
pallas_f32,512,2,4.0858004668464787e-07,3.664493597541604e-07
naive_bf16,512,2,0.005907514215399368,0.006250212474964772
pallas_bf16,512,2,0.0030112033359400714,0.003799435219273007
naive_f32,1024,0,3.0550372148718807e-07,5.127785834464792e-07
pallas_f32,1024,0,2.025569763031143e-07,3.6847059099935863e-07
naive_bf16,1024,0,0.0046529695912240765,0.006374380185317039
pallas_bf16,1024,0,0.0017232820912240765,0.0037186577880895387
naive_f32,1024,1,2.2517860001625145e-07,4.914281879704814e-07
pallas_f32,1024,1,1.6933332484814212e-07,3.560701068741302e-07
naive_bf16,1024,1,0.002701983673968275,0.006190831374410671
pallas_bf16,1024,1,0.00155321606159603,0.0036825388631346124
naive_f32,1024,2,3.5435253520343934e-07,5.152111365035199e-07
pallas_f32,1024,2,2.3849928637575957e-07,3.784457374997044e-07
naive_bf16,1024,2,0.004699160532231461,0.006579975783722855
pallas_bf16,1024,2,0.002746035532231461,0.0038580432365485705
naive_f32,2048,0,1.774622781502977e-07,5.054484450578578e-07
pallas_f32,2048,0,1.7639048208173413e-07,3.728486399667342e-07
naive_bf16,2048,0,0.0022018654589900655,0.006454264491929803
pallas_bf16,2048,0,0.0012932121361902138,0.003716176718891022
naive_f32,2048,1,2.329478474005775e-07,5.024589640882901e-07
pallas_f32,2048,1,1.9713821533540177e-07,3.6927975759179185e-07
naive_bf16,2048,1,0.004058289970780643,0.006462834315878341
pallas_bf16,2048,1,0.0016549686284813014,0.0037404801545300338
naive_f32,2048,2,2.308164794018186e-07,5.056211723880146e-07
pallas_f32,2048,2,2.16585086282306e-07,3.7444634817798757e-07
naive_bf16,2048,2,0.002913592511579799,0.006560537716245135
pallas_bf16,2048,2,0.0012655295804510636,0.0037738030892485283
naive_f32,4096,0,2.1526705026864157e-07,5.108783880801616e-07
pallas_f32,4096,0,1.5720294285759273e-07,3.873823763113426e-07
naive_bf16,4096,0,0.0015343558426180667,0.006655559301070079
pallas_bf16,4096,0,0.0009093470037833951,0.0037524312205509083
naive_f32,4096,1,1.496491900121466e-07,4.97529920348683e-07
pallas_f32,4096,1,1.3501292819850796e-07,3.7848634112511557e-07
naive_bf16,4096,1,0.0015468199908617308,0.006505686395643191
pallas_bf16,4096,1,0.001085189925594171,0.0037048909938221628
naive_f32,4096,2,1.4450275423461e-07,5.04619282719665e-07
pallas_f32,4096,2,1.3058067441923393e-07,3.839351304405784e-07
naive_bf16,4096,2,0.0018045028754937187,0.006647165415500178
pallas_bf16,4096,2,0.0007874933225850284,0.0037760064512810227
